scooter, user, initialLoad, finalLoad, sourceX, sourceY, destinationX, destinationY, startTime, endTime
537,496,3,4,4.36186,50.86034,4.372,50.86309,2017-01-01T22:05:55,2017-01-02T05:02:20
248,129,2,4,4.37052,50.86135,4.36254,50.82652,2017-01-01T23:56:45,2017-01-02T05:05:33
363,17,1,4,4.36902,50.87497,4.3785,50.87691,2017-01-01T22:00:52,2017-01-02T05:08:34
584,33,3,4,4.36849,50.85444,4.37899,50.82317,2017-01-01T22:00:15,2017-01-02T05:09:13
423,361,0,4,4.36152,50.87478,4.36929,50.873,2017-01-01T22:04:13,2017-01-02T05:10:22
89,197,3,4,4.37654,50.87117,4.37996,50.86807,2017-01-01T23:40:14,2017-01-02T05:14:12
451,405,3,4,4.37346,50.85791,4.37104,50.8383,2017-01-01T23:31:15,2017-01-02T05:14:23
436,121,1,4,4.37799,50.86142,4.37002,50.83783,2017-01-01T22:03:29,2017-01-02T05:17:49
257,389,1,4,4.36402,50.85753,4.3659,50.83964,2017-01-01T23:15:25,2017-01-02T05:19:38
6,523,2,4,4.3772,50.84259,4.36697,50.84563,2017-01-01T23:20:17,2017-01-02T05:20:56
489,116,0,4,4.37171,50.83767,4.3628,50.82766,2017-01-01T23:17:06,2017-01-02T05:22:58
1,399,1,4,4.36405,50.84605,4.3688,50.84231,2017-01-01T22:09:03,2017-01-02T05:23:12
234,517,3,4,4.37173,50.86222,4.36982,50.84097,2017-01-01T23:34:16,2017-01-02T05:24:50
503,444,0,4,4.3703,50.84525,4.37594,50.82323,2017-01-01T22:05:43,2017-01-02T05:25:54
510,300,1,4,4.3617,50.82585,4.373,50.879,2017-01-01T22:00:00,2017-01-02T05:26:44
367,254,1,4,4.37397,50.8251,4.36073,50.83222,2017-01-01T22:00:23,2017-01-02T05:27:37
408,237,2,4,4.37512,50.84228,4.36917,50.85137,2017-01-01T23:12:55,2017-01-02T05:28:01
448,351,3,4,4.37431,50.82672,4.37734,50.87418,2017-01-01T22:03:00,2017-01-02T05:31:52
303,117,3,4,4.37314,50.82539,4.37931,50.85477,2017-01-01T22:04:34,2017-01-02T05:32:31
539,504,0,4,4.36076,50.87814,4.36006,50.85514,2017-01-01T22:07:52,2017-01-02T05:34:09
85,346,0,4,4.37732,50.87946,4.36958,50.87198,2017-01-01T22:07:10,2017-01-02T05:36:44
435,176,1,4,4.36708,50.87695,4.37787,50.83479,2017-01-01T22:08:54,2017-01-02T05:37:22
150,374,3,4,4.37856,50.82497,4.37829,50.83876,2017-01-01T23:50:42,2017-01-02T05:41:10
482,4,2,4,4.37022,50.83175,4.36092,50.86978,2017-01-01T22:04:08,2017-01-02T05:45:48
402,382,2,4,4.36205,50.83715,4.36802,50.86303,2017-01-01T23:41:02,2017-01-02T05:49:36
28,243,3,4,4.37256,50.85864,4.37712,50.84127,2017-01-01T22:06:08,2017-01-02T05:49:41
471,171,1,4,4.37847,50.87584,4.37493,50.86328,2017-01-01T22:02:40,2017-01-02T05:52:44
533,29,0,4,4.36488,50.85799,4.36841,50.83213,2017-01-01T22:02:17,2017-01-02T05:53:11
318,530,0,4,4.36815,50.83038,4.37938,50.82867,2017-01-01T22:04:53,2017-01-02T05:54:07
275,456,3,4,4.37567,50.83358,4.3611,50.86454,2017-01-01T22:03:14,2017-01-02T05:54:34
564,404,0,4,4.36596,50.87938,4.37492,50.82595,2017-01-01T22:12:56,2017-01-02T05:56:49
56,73,0,4,4.37475,50.87624,4.36033,50.85766,2017-01-01T22:00:34,2017-01-02T05:56:51
57,268,1,4,4.373,50.85915,4.37011,50.84615,2017-01-01T22:00:37,2017-01-02T05:58:50
188,32,3,4,4.3681,50.84512,4.37758,50.87064,2017-01-01T22:12:11,2017-01-02T06:01:31
449,221,2,4,4.36325,50.84174,4.37553,50.8548,2017-01-01T22:01:07,2017-01-02T06:02:39
